f_pairwise	q_bray_curtis	q_jensen_shannon	q_jaccard	q_endemic	f_singleinv	f_coalescence	h_inv	h_res
0.5394134694586791	0.5841569083133173	0.562395854258461	0.4	0.3571428571428571	0.4898568669286549	0.40822658279188767	0.5658065734457898	0.019186772761827207
0.5365324851229508	0.4188013402081689	0.33085451744642985	0.39999999999999997	0.36	0.32981211270314814	0.32803459356066117	0.6644953205438002	0.954064302753704
NA	0.7746041072716108	0.7057116467187434	0.6923076923076924	0.6486486486486487	2.144678716909794e-05	0.0006276145819472689	0.029051170267237653	0.0205287615787822
0.013435181931378581	0.14829576518453444	0.17283792371455692	0.7142857142857143	0.5	0.01436344133527269	0.07492564972103669	0.01777175863946806	0.9765320417092227
1.0	0.7690625612092594	0.7796665085270954	0.7422680412371133	0.7297297297297297	0.35119730069660215	0.3532729521579739	0.5714553211921969	0.5899433579706888
0.437073844502151	0.9750540865903436	0.9664052051754904	0.6455696202531646	0.6226415094339622	0.2545869729524703	0.29322418837236136	0.8005719757596875	0.023677859341960577
0.17124395392970365	0.19300530417177586	0.2600598918816208	0.6330275229357798	0.6144578313253012	0.02241792294157618	0.00012570712514195162	0.3750071313614833	0.5301939330150789
0.336431736357862	0.3296764425062817	0.32391969117663305	0.15254237288135594	0.15730337078651685	0.31641953020855346	0.31657340789508603	0.5290725173143727	0.744546328478761
0.6180592082946675	0.007948766504753183	0.014898073403603511	0.1875	0.2567567567567568	0.0	0.0	0.016604821286744044	0.6858488734384431
0.575095599112633	0.0724279345634819	0.1113904258074733	0.5	0.5	0.10740341385880468	0.054696686407718846	0.018165010937953883	0.9088804234323131
0.7516847754546949	0.9732369823848829	0.9486841322448893	0.5833333333333334	0.5481927710843373	0.34793729582087213	0.30626491219187035	0.7362433320445467	0.5471024083389141
NA	0.011415221684763046	0.014557526047280335	0.28571428571428575	0.31100478468899523	0.0	0.0	0.01396756748322322	0.01983114022970499
0.992878481845318	0.00011700850782233521	0.0003779697080083181	0.3448275862068965	0.2857142857142857	0.0	0.0	0.027042218986229802	0.020457100111274325
0.0001183713515112566	0.3391480409489561	0.32367991170372956	0.2849162011173184	0.39622641509433965	2.3077137412358476e-05	0.0	0.03200677547606378	0.05312985217368754
NA	0.6933185706551448	0.7053019345250474	0.3548387096774193	0.30434782608695654	0.4722789896794281	0.5017419730148346	0.022231414545937363	0.0449074864540819
NA	0.24492513547906233	0.21764798082600575	0.06338028169014083	0.08695652173913043	0.22531293018953757	0.23608164156427347	0.016327803834843304	0.022524441291069335
0.6652246872947297	0.01690624975892383	0.044877119756540185	0.2857142857142857	0.31707317073170727	0.009723379128398161	0.008515106837827252	0.5181453575897979	0.5087713769671846
0.4498307542101913	0.7980725468090316	0.695279569461251	0.625	0.5813953488372093	0.3467465840509909	0.3503898752971805	0.5899750259048567	0.015438509179293396
0.8000132385605727	0.9116920128002084	0.8656177295370688	0.660377358490566	0.5544554455445545	0.4243320944959535	0.33734323501153596	0.7610125226636717	0.4877983333215022
0.006186726280615203	0.004865272449461127	0.008442513651002839	0.2967032967032967	0.27272727272727276	0.0	0.0	0.09607337945533798	0.9746941954324698
NA	0.011084959340983249	0.007829861828823588	0.19047619047619047	0.2553191489361702	0.0	0.0	0.013249388284468646	0.01453730944390294
0.580588974442686	0.7965422854856494	0.7836847250544041	0.3571428571428571	0.37931034482758624	0.08819380128101392	0.4246848971842269	0.41658946994456975	0.25604362949685217
0.36875494768598743	0.6982085144648882	0.6398784736806771	0.5882352941176471	0.6363636363636364	5.359178767732128e-07	0.03174827356590437	0.03036584344924668	0.522488987845815
0.5083866875328235	0.331391275473932	0.2775594780499173	0.4444444444444445	0.4578313253012048	0.3269981001382352	0.32247590274058935	0.018701167772782582	0.5402651255956886
0.39906271905182983	0.040537935789154204	0.07008953346187159	0.15	0.2708333333333333	0.0	0.0	0.020214567276637573	0.5508478345379396
NA	0.8950768606184225	0.8933389888970856	0.8333333333333334	0.8252427184466019	0.2065531714344662	0.33688272572255873	0.017650298855689747	0.5686076500238372
0.5960104129805776	0.7005279845554916	0.7363164159441721	0.6867469879518072	0.6842105263157895	0.30018534646294104	0.2684970029228438	0.4955000998069045	0.017015982492856626
0.9999458802339591	0.0	0.0	0.0	0.0	0.0	0.0	0.016237362387067078	0.014317048844643658
0.5800492866064817	0.0048185557366551	0.008843399369537389	0.19047619047619047	0.28	0.0	7.575080869462972e-07	0.01752366048811098	0.49840210758659403
