f_pairwise	q_bray_curtis	q_jensen_shannon	q_jaccard	q_endemic	f_singleinv	f_coalescence
0.41055651045317565	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.34143986125085796	0.3314358221920549
0.6900151078964655	0.5063291139240507	0.5063291139240507	0.5063291139240507	0.5063291139240507	3.3243630277018995e-06	1.962275350064615e-06
0.5538311862647518	0.72	0.72	0.72	0.72	0.49469611775570393	0.24910648501947832
0.8900757818735031	0.6962025316455697	0.6962025316455697	0.6962025316455697	0.6962025316455697	0.7073264151722769	0.6849812939036383
0.47431162749908196	0.6190476190476191	0.6190476190476191	0.6190476190476191	0.6190476190476191	0.3312746816203534	0.29156061943543077
0.6478454841972939	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.15384615384615385	0.016511465551329596	0.021216353453639234
0.8878103303104653	0.47619047619047616	0.47619047619047616	0.47619047619047616	0.47619047619047616	0.7349875464504012	0.5962544253576983
0.3489182336855912	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.11917249845980767	0.1275565069296637
0.20429944204904865	0.5384615384615384	0.5384615384615384	0.5384615384615384	0.5384615384615384	0.06859045995617485	0.017730336187100924
0.8459274119186467	0.33898305084745767	0.33898305084745767	0.33898305084745767	0.33898305084745767	0.48365257642595133	0.48173733486776055
0.7406062940022492	0.9285714285714286	0.9285714285714286	0.9285714285714286	0.9285714285714286	0.5957227382649314	0.2862352092496198
0.44741010992197944	0.43298969072164945	0.43298969072164945	0.43298969072164945	0.43298969072164945	0.3332288837357842	0.3134634660703732
0.4097629335916688	0.48387096774193555	0.48387096774193555	0.48387096774193555	0.48387096774193555	0.08590618653150843	0.09848423854005726
1.7097400152525152e-07	0.25	0.25	0.25	0.25	0.0	0.0
0.6423807652557162	0.5161290322580645	0.5161290322580645	0.5161290322580645	0.5161290322580645	0.4136829653948107	0.4204959227631212
0.4532938965966507	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.33333333333333337	0.0	0.0004510637494326759
0.30196768434308874	0.3125	0.3125	0.3125	0.3125	0.3230062578212702	0.21346178034726856
0.5531505574775365	0.6226415094339622	0.6226415094339622	0.6226415094339622	0.6226415094339622	0.6801570967206156	0.6918854633916685
0.35803454436658194	0.15999999999999998	0.15999999999999998	0.15999999999999998	0.15999999999999998	0.21411109336971254	0.21374758315231346
0.7966967561923709	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.6206896551724138	0.4620703458839334	0.3755148912050592
0.709574519086244	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.16666666666666666	0.6994586970886579	0.6993777994507612
0.727581918516677	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.5555555555555556	0.6124331581500363	0.45049283458459793
0.902555866641206	0.6363636363636362	0.6363636363636362	0.6363636363636362	0.6363636363636362	0.8406140506908745	0.5797773202601614
0.6000195740207349	0.23076923076923078	0.23076923076923078	0.23076923076923078	0.23076923076923078	0.2717356694836048	0.2688355530285696
0.7043250642848593	0.6435643564356436	0.6435643564356436	0.6435643564356436	0.6435643564356436	0.5298644932350131	0.40425464620649215
0.5537027096356679	0.5	0.5	0.5	0.5	0.4429591657991455	0.44246086824118536
0.65064167830074	0.44318181818181823	0.44318181818181823	0.44318181818181823	0.44318181818181823	0.003282735254993447	8.093866143605616e-05
0.4899628957395991	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.07692307692307693	0.0	0.0
0.7847336779204384	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.5454545454545454	0.737028924371282	0.7868429744849436
0.786950639657514	0.52	0.52	0.52	0.52	0.6589231271146847	0.6064557059282135
0.8877006345186824	1.0	1.0	1.0	1.0	0.7999874994678987	0.7771856734056384
0.5333201851917572	0.6357615894039735	0.6357615894039735	0.6357615894039735	0.6357615894039735	0.4695026266729203	0.48863982581928794
0.7367446196842073	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.5333333333333333	0.7598255608855506	0.673969870427661
0.8328283785359654	0.6493506493506493	0.6493506493506493	0.6493506493506493	0.6493506493506493	0.761561705840136	0.7508265903071345
0.7441861900295572	0.3053435114503817	0.3053435114503817	0.3053435114503817	0.3053435114503817	0.6624539842110639	0.6221576839086704
0.40009693155587234	0.55	0.55	0.55	0.55	0.4345565475545913	0.42880309190778104
0.506516975570714	0.6470588235294118	0.6470588235294118	0.6470588235294118	0.6470588235294118	0.2651429142631056	0.22840801608275862
0.4920676476765186	0.3157894736842105	0.3157894736842105	0.3157894736842105	0.3157894736842105	0.3026176424552945	0.31368255534892386
0.8074067229379551	0.64	0.64	0.64	0.64	0.46923290922619965	0.5578442449296783
0.6722316001927148	0.3181818181818181	0.3181818181818181	0.3181818181818181	0.3181818181818181	0.5676325442741254	0.5629100098679877
0.7707317143538476	0.6470588235294118	0.6470588235294118	0.6470588235294118	0.6470588235294118	0.6994586435482328	0.6983684162045127
0.27262550887276793	0.2	0.2	0.2	0.2	0.09563242401931057	0.03608566738485273
0.28873433060360415	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.2222222222222222	0.11900519123476314	0.12013171320725592
0.8033765410609566	0.4615384615384615	0.4615384615384615	0.4615384615384615	0.4615384615384615	0.7520087029185848	0.7520518681251187
0.31893635085091776	0.4230769230769231	0.4230769230769231	0.4230769230769231	0.4230769230769231	0.2652922803637781	0.23439780152127127
0.5690679244367085	0.391304347826087	0.391304347826087	0.391304347826087	0.391304347826087	0.08066073065033576	0.050649566785112975
0.2376333312687925	0.8596491228070176	0.8596491228070176	0.8596491228070176	0.8596491228070176	0.2622102716519233	0.26565468824241006
0.7592622261075939	0.5714285714285715	0.5714285714285715	0.5714285714285715	0.5714285714285715	0.5297348779854179	0.536999470232361
0.5251569626384482	0.6315789473684211	0.6315789473684211	0.6315789473684211	0.6315789473684211	0.4819246394379985	0.4839111764984111
0.285497895151278	0.7391304347826088	0.7391304347826088	0.7391304347826088	0.7391304347826088	0.0	2.9786760196780687e-05
